circRNA_index,disease_index
634,0
173,0
242,0
509,0
723,0
88,0
16,0
290,0
454,0
448,0
95,0
503,0
559,0
710,0
391,0
75,0
488,0
588,1
513,1
199,1
587,1
531,1
738,1
196,1
108,1
406,1
171,1
542,1
177,1
679,1
300,1
28,1
379,1
360,1
701,1
515,1
190,2
677,2
5,2
444,2
708,2
106,2
327,2
175,2
131,2
63,2
553,2
635,2
193,2
171,3
430,3
689,3
493,3
50,3
436,3
687,3
15,3
368,3
70,3
287,3
132,3
528,4
17,4
657,4
379,4
130,4
722,4
480,4
564,4
361,4
502,4
514,4
146,4
79,4
125,4
386,5
341,5
619,5
721,5
596,5
94,5
147,5
699,5
634,5
320,5
273,5
408,5
427,6
650,6
175,6
521,6
19,6
465,6
387,7
144,7
482,7
328,7
581,7
628,7
256,7
176,7
45,7
145,7
389,7
325,7
178,7
242,8
76,8
32,8
634,8
178,8
236,8
311,8
150,8
109,9
300,9
413,9
441,9
197,9
512,9
391,9
368,9
644,9
71,9
493,9
545,9
516,9
496,9
388,10
524,10
240,10
420,10
563,10
161,10
579,10
59,10
642,10
471,11
657,11
4,11
34,11
18,11
520,11
81,11
738,11
290,11
586,11
494,11
725,11
340,11
645,12
21,12
354,12
502,12
734,12
2,12
87,12
212,12
633,12
232,12
142,12
468,12
691,12
532,12
138,12
401,12
107,12
646,13
594,13
593,13
151,13
515,13
534,13
74,13
103,13
408,13
536,13
621,13
431,13
460,13
580,14
532,14
290,14
276,14
244,14
491,14
255,14
122,14
60,14
423,14
266,14
641,14
588,14
46,14
640,14
47,14
736,15
657,15
108,15
551,15
151,15
621,15
651,15
379,15
396,15
417,15
522,15
220,15
567,15
270,15
14,15
496,15
260,16
192,16
73,16
605,16
196,16
600,16
281,16
252,16
91,16
143,17
204,17
602,17
83,17
39,17
588,17
588,17
451,17
383,17
393,17
311,17
159,17
156,17
452,18
301,18
150,18
217,18
283,18
96,18
449,18
362,18
411,18
564,18
114,18
522,18
179,19
292,19
441,19
666,19
316,19
465,19
99,19
47,19
169,20
517,20
442,20
735,20
199,20
397,20
327,20
659,20
560,20
309,20
496,20
712,20
418,20
351,20
435,21
650,21
421,21
613,21
113,21
60,21
109,21
638,21
267,21
83,21
300,22
125,22
711,22
108,22
24,22
463,22
42,22
321,23
233,23
444,23
279,23
341,23
419,23
723,23
356,23
459,23
436,23
441,24
657,24
646,24
642,24
91,24
704,24
472,24
193,24
34,24
718,24
364,24
59,24
523,24
420,24
629,24
715,24
18,24
672,24
609,25
364,25
5,25
601,25
34,25
328,25
596,25
78,25
706,26
268,26
39,26
729,26
536,26
570,26
380,26
