,disease 1,disease 2,distance
0,acne,acute myeloid leukemia,4.046098127165435
0,acne,acute promyelocytic leukemia,3.871323578934897
0,acne,acute respiratory distress syndrome,4.065784378024165
0,acne,alzheimer's disease,3.7928864629510306
0,acne,atherosclerosis,3.7783087791021246
0,acne,basal cell carcinoma,3.804480898472361
0,acne,bladder cancer,4.040630618287715
0,acne,bladder urothelial carcinoma,4.0080571017198166
0,acne,breast cancer,3.696269147690298
0,acne,cardiovascular disease,3.7752197224591684
0,acne,cervical cancer,3.828790728133165
0,acne,cervical carcinoma,4.193010264528713
0,acne,cholangiocarcinoma,3.810115734046222
0,acne,clear cell renal cell carcinoma,4.337445039313719
0,acne,colon cancer,4.162434622296871
0,acne,colorectal cancer,3.9684318378538372
0,acne,coronary artery disease,4.103838607565083
0,acne,cutaneous squamous cell carcinoma,3.947005097304338
0,acne,diabetes mellitus,3.9404988821875375
0,acne,diabetic retinopathy,3.812523003402547
0,acne,dilated cardiomyopathy,4.709222257944716
0,acne,endometrial cancer,4.365534522058167
0,acne,esophageal cancer,4.215739913008881
0,acne,esophageal squamous cell carcinoma,4.055453272570022
0,acne,essential hypertension,3.8868843930491463
0,acne,gastric cancer,4.006572657944558
0,acne,gestational diabetes mellitus,3.571588927796839
0,acne,glioblastoma,3.913429713063306
0,acne,glioblastoma multiforme,4.068128669495165
0,acne,glioma,4.264055878330683
0,acne,heart disease,3.8594561051909433
0,acne,hepatic steatosis,4.368559122039397
0,acne,hepatoblastoma,3.9385355741026227
0,acne,hepatocellular carcinoma,3.959987767529078
0,acne,hirschsprung disease,4.168191874785931
0,acne,hypertension,3.921457025125755
0,acne,hypertrophic cardiomyopathy,4.015228022782709
0,acne,hypopharyngeal squamous cell carcinoma,3.4619140622080167
0,acne,infantile hemangioma,4.111008938396262
0,acne,intervertebral disc degeneration,4.142718274050785
0,acne,leukoaraiosis,4.349743973048687
0,acne,liver cancer,3.52475945542628
0,acne,lung adenocarcinoma,4.2010325166596925
0,acne,lung cancer,3.7391326129224933
0,acne,lupus nephritis,4.135704044356813
0,acne,major depressive disorder,3.92127198402852
0,acne,moyamoya disease,4.323564446533552
0,acne,multiple sclerosis,3.9606821406865573
0,acne,multiple system atrophy,4.724962481372856
0,acne,myocardial infarction,3.9081123750370166
0,acne,neuropathic pain,4.463145907470971
0,acne,nonalcoholic steatohepatitis,3.9287181384176586
0,acne,non-small cell lung cancer,3.68156637318576
0,acne,oral squamous cell carcinoma,3.5042377703345498
0,acne,osteoarthritis,4.0002992578748575
0,acne,osteosarcoma,4.009392970267961
0,acne,ovarian endometriosis,3.5743037356425225
0,acne,pancreatic cancer,4.029394470873701
0,acne,pancreatic ductal adenocarcinoma,3.865202545945507
0,acne,papillary thyroid carcinoma,3.8952342104627475
0,acne,pre-eclampsia,4.087755363187736
0,acne,prostate adenocarcinoma,3.5299947026921776
0,acne,prostate cancer,3.8690347683769404
0,acne,pulmonary tuberculosis,3.627277580784414
0,acne,rheumatoid arthritis,3.702860146269014
0,acne,silicosis,4.172211254405763
0,acne,systemic lupus erythematosus,4.065378084002026
0,acne,thoracic aortic dissection,3.513137898932886
0,acne,tuberculosis,3.824407572506648
0,acne,type 2 diabetes mellitus,4.263972275850404
0,acute myeloid leukemia,acute promyelocytic leukemia,3.7547759696846175
0,acute myeloid leukemia,acute respiratory distress syndrome,4.271158176125669
0,acute myeloid leukemia,alzheimer's disease,3.9071883390361473
0,acute myeloid leukemia,atherosclerosis,4.011253412654036
0,acute myeloid leukemia,basal cell carcinoma,4.005264991698924
0,acute myeloid leukemia,bladder cancer,3.9248016853019685
0,acute myeloid leukemia,bladder urothelial carcinoma,4.164032612174958
0,acute myeloid leukemia,breast cancer,3.8630563040042967
0,acute myeloid leukemia,cardiovascular disease,3.573224349324005
0,acute myeloid leukemia,cervical cancer,3.7932336472050614
0,acute myeloid leukemia,cervical carcinoma,4.103274249634018
0,acute myeloid leukemia,cholangiocarcinoma,3.8333489740859976
0,acute myeloid leukemia,clear cell renal cell carcinoma,4.40557029970504
0,acute myeloid leukemia,colon cancer,4.125497890761027
0,acute myeloid leukemia,colorectal cancer,3.9170038384906576
0,acute myeloid leukemia,coronary artery disease,3.7622025432425032
0,acute myeloid leukemia,cutaneous squamous cell carcinoma,3.756881558768891
