circRNA,circRNA index
cANRIL,0
CDR1as,1
chr11:34060062|34073206,2
chr18:107887-108499,3
chr19:5761476-5761630,4
Chr22: 28943661,5
chr4:103501692-103504114,6
Chr5: 158368701,7
chr5:90817794|90827570,8
chr6:22033342|22038870,9
chr8:71336875|71337745,10
Chr9: 74522734,11
circ_0002198,12
circ_0004712,13
circ_15898,14
Circ_ADCY1,15
Circ_BEND6,16
Circ_CEP192,17
Circ_CORO1C,18
Circ_CRKL,19
Circ_EML5,20
Circ_ERC1,21
Circ_ETFA,22
Circ_FKBP8,23
Circ_HIPK3,24
Circ_KCNN2,25
Circ_MAN1A2,26
Circ_MCTP1,27
Circ_MED12L,28
Circ_R3HDM1,29
Circ_RIMS1,30
Circ_RNF10,31
Circ_SAFB2,32
Circ_SLC8A1,33
Circ_SMARCA5,34
Circ_STXBP5L,35
Circ_UNC79,36
Circ_VCAN,37
Circ_ZNF148,38
circ0817,39
Circ-104916,40
circ3204,41
circ6229,42
circ7374,43
circ7780,44
circABCB10,45
circABCC,46
circAmotl1,47
circANRIL,48
circARHGAP5,49
CircARSP91,50
circATP2B1,51
circ-BANP,52
circBC048201,53
circBCL11B,54
circBRAF,55
circBRIP,56
circC3P1,57
circCCDC66,58
circ-CER,59
circCRIM1,60
circDENND4C,61
CircDOCK1,62
circEKL4,63
circETFA,64
circFAM120A,65
circFAM169A,66
circFAM188A,67
circFAT1,68
circ-FBXW7,69
circ-Foxo3,70
circFUT8,71
circ-GRB10,72
circHECTD1,73
circHIAT1,74
circHIPK3,75
circHLA-C,76
circIPO11,77
circ-KLDHC10,78
circLARP4,79
circ-LDLRAD3,80
circMAN2B2,81
circMED13,82
circMTO1,83
circMylk,84
circNPM1,85
circ-NT5C2,86
circOLA,87
circPABPN1,88
circPDE4B,89
circPRKCI,90
circPRRC2B,91
circPTK2,92
circPVT1,93
circRHOBTB3,94
circRNA BCRC4,95
circRNA.1030,96
circRNA.20159,97
circRNA.22054,98
circRNA.33299,99
circRNA.37134,100
circRNA.5333,101
circRNA_0001073,102
circRNA_000167,103
circRNA_0005941,104
circRNA_000695,105
circRNA_00074,106
circRNA_000839,107
circRNA_001059,108
circRNA_0018168,109
circRNA_002279,110
circRNA_002581,111
circRNA_003524,112
circRNA_0046366,113
circRNA_004772,114
circRNA_007585,115
circRNA_008472,116
circRNA_0084927,117
circRNA_0086376,118
circRNA_012164,119
circRNA_05538,120
circRNA_081881,121
circRNA_092516,122
circRNA_09585,123
circRNA_09993,124
circRNA_100269,125
circRNA_100367,126
circRNA_100782,127
circRNA_100876,128
circRNA_100984,129
circRNA_101419,130
circRNA_101873,131
circRNA_101877,132
circRNA_102231,133
circRNA_102913,134
circRNA_103047,135
circRNA_104871,136
circRNA_104983,137
circRNA_13478,138
circRNA_14623,139
circRNA_Atp9b,140
circRNA-000284,141
circRNA0003906,142
circRNA-000911,143
circRNA-001175,144
circRNA-001283,145
circRNA0047905,146
circRNA0138960,147
circRNA-100438,148
circRNA120,149
circRNA167,150
circRNA2918,151
circRNA3341,152
circRNA3594,153
circRNA3703,154
circRNA3706,155
circRNA3707,156
circRNA378,157
circRNA4628,158
circRNA5669,159
circRNA666,160
circRNA7534,161
circRNA7535,162
circRNA7536,163
circRNA7537,164
circRNA7673,165
circRNA7674,166
circRNA7675,167
circRNA7676,168
circRNA7679,169
circRNA8505,170
circRNA8506,171
circRNA8507,172
circRNA904,173
